imdb_title_id,director_id
tt0000009,1
tt0000574,2
tt0001892,3
tt0002101,4
tt0002130,5
tt0002130,6
tt0002199,7
tt0002423,8
tt0002445,9
tt0002452,10
tt0002452,11
tt0002461,12
tt0002461,13
tt0002646,14
tt0002844,15
tt0003014,16
tt0003037,15
tt0003102,17
tt0003131,18
tt0003165,15
tt0003167,19
tt0003419,20
tt0003419,21
tt0003471,22
tt0003489,17
tt0003489,23
tt0003637,24
tt0003637,25
tt0003643,19
tt0003657,26
tt0003740,27
tt0003772,28
tt0003883,29
tt0003930,15
tt0003973,30
tt0004026,31
tt0004026,20
tt0004066,32
tt0004099,33
tt0004134,34
tt0004150,35
tt0004181,19
tt0004457,33
tt0004465,36
tt0004465,37
tt0004635,38
tt0004635,39
tt0004681,40
tt0004707,41
tt0004707,42
tt0004712,43
tt0004743,44
tt0004766,39
tt0004825,45
tt0004838,26
tt0004872,45
tt0004873,46
tt0004972,19
tt0005060,39
tt0005078,39
tt0005149,26
tt0005149,47
tt0005339,48
tt0005402,39
tt0005529,32
tt0005557,26
tt0005680,49
tt0005680,50
tt0005719,51
tt0005809,52
tt0005916,53
tt0005951,54
tt0005960,55
tt0006206,15
tt0006327,56
tt0006333,57
tt0006509,58
tt0006509,59
tt0006517,26
tt0006517,47
tt0006589,60
tt0006617,16
tt0006688,51
tt0006731,58
tt0006731,59
tt0006736,61
tt0006745,58
tt0006745,59
tt0006753,61
tt0006780,62
tt0006780,63
tt0006809,64
tt0006826,65
tt0006864,19
tt0006886,15
tt0007047,66
tt0007183,67
tt0007257,51
tt0007260,63
tt0007309,8
tt0007338,68
tt0007340,34
tt0007361,69
tt0007367,64
tt0007522,70
tt0007558,71
tt0007558,34
tt0007610,72
tt0007755,73
tt0007801,74
tt0007983,75
tt0008011,45
tt0008100,76
tt0008150,39
tt0008188,39
tt0008188,77
tt0008196,78
tt0008279,79
tt0008309,61
tt0008395,67
tt0008395,80
tt0008443,45
tt0008489,81
tt0008499,78
tt0008519,39
tt0008536,67
tt0008634,73
tt0008652,82
tt0008663,16
tt0008672,70
tt0008679,83
tt0008687,84
tt0008710,16
tt0008775,64
tt0008827,78
tt0008843,85
tt0008854,8
tt0008879,16
tt0008891,45
tt0008930,86
tt0008950,8
tt0009014,79
tt0009062,8
tt0009086,59
tt0009150,19
tt0009153,73
tt0009241,84
tt0009326,78
tt0009356,87
tt0009369,88
tt0009369,89
tt0009440,39
tt0009475,90
tt0009559,19
tt0009608,91
tt0009611,92
tt0009652,78
tt0009682,93
tt0009701,15
tt0009737,94
tt0009796,39
tt0009878,95
tt0009892,38
tt0009893,8
tt0009894,96
tt0009900,97
tt0009915,98
